no,id,日期,起始时间点,结束时间点,歌曲文件名,歌曲名,原唱,版本号,版本名,时间轴,状态,歌词
0,A000001,2020.12.11,0.0,229944.0, 歌曲串烧,歌曲串烧,王俊凯,,,0,0,"[ti:经典老歌串烧 (Live)]
[ar:王俊凯]
[al:王俊凯18岁karryon成年礼live专辑]
[by:]
[offset:0]
[00:00.00]经典老歌串烧 (Live) - 王俊凯
[00:04.92]词：郑智化/黄家驹
[00:09.84]曲：郑智化/黄家驹
[00:14.76]编曲：达日丹
[00:19.68]苦涩的沙
[00:21.39]吹痛脸庞的感觉
[00:24.30]像父亲的责骂
[00:25.59]母亲的哭泣
[00:26.78]永远难忘记
[00:29.18]年少的我
[00:31.00]喜欢一个人在海边
[00:33.97]卷起裤管光着脚丫走在沙滩上
[00:38.77]总是幻想海洋的尽头有另一个世界
[00:42.96]
[00:43.47]总是以为勇敢的水手是真正的男儿
[00:47.99]
[00:48.51]总是一副弱不禁风孬种的样子
[00:53.13]在受人欺负的时候总是听见水手说
[00:57.53]星星点灯 - 王俊凯
[00:58.26]词：郑智化
[00:58.43]曲：郑智化
[00:58.59]编曲：达日丹
[00:59.42]
[01:00.37]星星点灯
[01:02.53]照亮我的家门
[01:04.91]让迷失的孩子
[01:07.28]找到来时的路
[01:09.98]星星点灯
[01:12.05]照亮我的前程
[01:14.33]用一点光
[01:15.71]温暖孩子的心
[01:19.50]
[01:29.28]不负责任的誓言
[01:31.72]年少轻狂的我
[01:33.88]在黑暗中迷失才发现自己的脆弱
[01:38.67]看着你哭红的眼睛
[01:40.89]想着远离的家门
[01:42.97]
[01:43.52]满天的星星请为我点盏希望的灯火
[01:48.24]漂洋过海来看你 - 王俊凯
[01:49.07]词：李宗盛
[01:49.24]曲：李宗盛
[01:49.40]编曲：达日丹
[01:49.72]
[01:52.47]陌生的城市啊
[01:55.51]
[01:56.08]熟悉的角落里
[01:59.81]也曾彼此安慰
[02:01.72]也曾相拥叹息
[02:03.57]不管将会面对什么样的结局
[02:07.53]在漫天风沙里望着你远去
[02:11.08]我竟悲伤的不能自己
[02:15.37]多盼能送君千里
[02:17.16]直到山穷水尽
[02:19.34]一生和你相依
[02:23.40]海阔天空 - 王俊凯
[02:24.13]词：黄家驹
[02:24.30]曲：黄家驹
[02:24.46]编曲：达日丹
[02:25.25]
[02:44.65]原谅我这一生不羁放纵爱自由
[02:51.83]
[02:53.46]也会怕有一天会跌倒
[02:59.45]
[03:00.20]背弃了理想谁人都可以
[03:05.81]
[03:06.76]哪会怕有一天只你共我
[03:12.05]
[03:13.46]背弃了理想谁人都可以
[03:18.94]
[03:20.07]哪会怕有一天只你共我
[03:25.10]
[03:26.27]原谅我这一生不羁放纵爱自由
[03:31.92]
[03:33.50]也会怕有一天会跌倒
[03:39.36]
[03:40.17]背弃了理想谁人都可以
[03:45.67]
[03:46.88]哪会怕有一天只你共我"
1,A000002,2020.12.12,0.0,245904.0, 万有引力1.0,万有引力,汪苏泷,1.0,,0,0,"[ti:万有引力]
[ar:汪苏泷]
[al:万有引力]
[by:]
[offset:0]
[00:00.00]万有引力 - 汪苏泷 (Silence Wang)
[00:03.15]词：汪苏泷
[00:06.31]曲：汪苏泷
[00:09.46]制作人：胡皓/汪苏泷
[00:12.62]编曲：金若晨@光合声动
[00:15.77]和声编写：胡皓@光合声动
[00:18.93]和声：汪苏泷/阿莲
[00:22.08]吉他：谷粟
[00:25.24]录音：任寒冰@北京光合声动录音室
[00:28.39]混音：任寒冰@北京海尚录音室
[00:31.55]终于等到响起了下课铃
[00:34.50]已经约好在操场等你
[00:36.97]夏天真的是闷得可以
[00:39.49]带你去吃草莓冰淇淋
[00:41.91]如果你有一点坏心情
[00:44.38]我为你弹肖邦圆舞曲
[00:46.86]听到这首轻松的旋律
[00:49.29]好像吃了夹心巧克力
[00:52.23]当我偷偷看你
[00:54.25]当我偷偷地想着你
[00:56.82]想一些深奥的问题
[00:59.69]我们的爱情是丘比特安排的游戏
[01:05.04]还是月下老人他傻傻分不清
[01:09.96]你说靠在我的肩膀有心电感应
[01:14.80]说不清又不像是梦境
[01:19.26]我们的爱情是两颗星星眯着眼睛
[01:24.57]还是命中注定我们会在一起
[01:29.58]牛顿说过有种东西叫万有引力
[01:35.30]我因为你开始相信
[01:38.96]那些大道理
[01:50.23]天空有太阳暖暖地放晴
[01:53.24]却又期待下一场大雨
[01:55.75]我和你撑伞雨中穿行
[01:58.21]收集每一个点点滴滴
[02:00.68]喜欢你瞪着大大眼睛
[02:03.10]对什么事情都很好奇
[02:05.57]每天拿着苹果想定律
[02:08.01]可爱到连吃饭都忘记
[02:11.14]当我偷偷看你
[02:13.09]当我偷偷地想着你
[02:15.56]想一些深奥的问题
[02:18.43]我们的爱情是丘比特安排的游戏
[02:23.78]还是月下老人他傻傻分不清
[02:28.68]你说靠在我的肩膀有心电感应
[02:33.62]说不清又不像是梦境
[02:38.03]我们的爱情是两颗星星眯着眼睛
[02:43.42]还是命中注定我们会在一起
[02:48.35]牛顿说过有种东西叫万有引力
[02:53.98]我因为你开始相信
[02:57.65]那些大道理
[03:02.96]我们的爱情是丘比特安排的游戏
[03:08.22]还是月下老人他傻傻分不清
[03:13.04]你说靠在我的肩膀有心电感应
[03:18.00]说不清又不像是梦境
[03:22.37]我们的爱情是两颗星星眯着眼睛
[03:27.72]还是命中注定我们会在一起
[03:32.74]牛顿说过有种东西叫万有引力
[03:38.32]我因为你开始相信
[03:41.97]那些大道理"
2,A000003,2020.12.23,0.0,111480.0, 天使にふれたよ!,天使にふれたよ!,,,,0,2,
3,A000004,2020.12.25,0.0,239616.0, ふわふわ時間,ふわふわ時間,放課後ティータイム (放学后TEA TIME),,,0,0,"[ti:ふわふわ时间]
[ar:轻音少女]
[al:236016]
[by:]
[offset:0]
[00:11.90]君を見てるといつもハートとき~とき
[00:17.20]揺れる思いはマシュマロみたいにふわ~ふわ
[00:21.42]いつもがんばる 君の横顔
[00:26.96]ずっと見てても気づかないよね
[00:32.24]夢の中なら
[00:34.95]二人の距離
[00:37.97]縮められるのにな
[00:42.98]あぁ 神様 お願い
[00:45.99]二人だけのDream Timeください
[00:53.65]お気に入りのうさちゃん抱いで
[00:59.16]今夜もお休み
[01:03.49]
[01:04.44]ふわふわ時間 ふわふわ時間
[01:07.03]ふわふわ時間 ふわふわ時間
[01:09.73]ふわふわ時間 ふわふわ時間
[01:12.91]
[01:13.57]ふとした仕草に 今日もハート好き~好き
[01:18.47]さりげ笑顔を深読みしすぎてover heat!
[01:23.30]いつか目にした 君のマジ顔
[01:28.34]瞳閉じでも 浮かんでくるよ
[01:33.58]夢でいいから
[01:36.35]二人だけのSweet time 欲しいの
[01:44.36]あぁ 神様どうして
[01:47.39]好きになるほどDream nightせつないの
[01:55.12]とっておきのくまちゃん 出したし
[02:00.48]今夜は大丈夫かな
[02:04.55]
[02:32.92]もすこし 勇気ふるって
[02:38.07]自然に話せば
[02:43.42]何かが変わるのかな
[02:48.58]
[02:49.15]そんな気するけど
[02:56.71]だけどそれが一番難しいのよ
[02:59.58]話のきっかけとかどうしよ
[03:02.02]てか段取り考えてる時点で全然自然じゃないよね
[03:07.93]あぁ もういいや
[03:09.02]寝ちゃお寝ちゃお寝ちゃおーーそう~寝ちゃお
[03:12.55]あぁ カミサマお願い
[03:15.32]一度だけのMiracle Timeください!
[03:23.03]もしすんなり話せれば その後は どうにかなるよね
[03:33.58]ふわふわ時間 ふわふわ時間
[03:36.34]ふわふわ時間 ふわふわ時間
[03:38.85]ふわふわ時間 ふわふわ時間"
4,A000005,2020.12.25,0.0,235056.0, 云烟成雨,云烟成雨,房东的猫,,,0,0,"[ti:云烟成雨 (《我是江小白》动画片尾曲)]
[ar:房东的猫]
[al:云烟成雨]
[by:]
[offset:0]
[00:00.00]云烟成雨 - 房东的猫
[00:03.00]词：墨鱼丝
[00:06.00]曲：少年佩
[00:09.00]编曲：黎偌天
[00:12.00]制作人：黎偌天
[00:15.00]监制：李纤橙
[00:18.00]你的晚安是下意识的恻隐
[00:23.91]
[00:24.72]我留至夜深治疗失眠梦呓
[00:29.11]
[00:30.76]那封手写信留在行李箱底
[00:35.47]
[00:36.14]来不及赋予它旅途的意义
[00:42.37]
[00:43.51]若一切都已云烟成雨
[00:48.56]
[00:49.39]我能否变成淤泥
[00:52.56]再一次沾染你
[00:54.84]
[00:56.19]若生命如过场电影
[01:00.70]
[01:01.21]Oh 让我再一次甜梦里惊醒
[01:09.16]
[01:13.52]我多想再见你
[01:15.61]哪怕匆匆一眼就别离
[01:18.39]
[01:19.72]路灯下昏黄的剪影
[01:22.66]越走越漫长的林径
[01:24.96]
[01:25.95]我多想再见你
[01:28.14]至少玩笑话还能说起
[01:30.98]
[01:32.11]街巷初次落叶的秋分
[01:35.29]渐行渐远去的我们
[01:38.92]
[01:53.11]若一切都已云烟成雨
[01:57.98]
[01:58.88]我能否变成淤泥
[02:02.01]再一次沾染你
[02:04.33]
[02:05.60]若生命如过场电影
[02:10.18]
[02:10.71]Oh 让我再一次甜梦里惊醒
[02:18.37]
[02:19.65]我多想再见你
[02:21.75]哪怕匆匆一眼就别离
[02:24.55]
[02:25.78]路灯下昏黄的剪影
[02:28.74]越走越漫长的林径
[02:31.39]
[02:31.96]我多想再见你
[02:34.32]至少玩笑话还能说起
[02:37.22]
[02:38.32]街巷初次落叶的秋分
[02:41.50]渐行渐远去的我们
[02:45.59]
[02:49.53]站台汽笛响起
[02:51.86]
[02:52.50]想念是你的声音
[02:55.19]
[02:55.73]我们提着过去走入人群
[03:01.10]
[03:02.05]寻找着一个位置安放自己
[03:09.98]
[03:13.49]我多想再见你
[03:15.54]哪怕匆匆一眼就别离
[03:18.30]
[03:19.49]路灯下昏黄的剪影
[03:22.62]越走越漫长的林径
[03:25.06]
[03:25.85]我多想再见你
[03:28.18]至少玩笑话还能说起
[03:31.00]
[03:32.02]街巷初次落叶的秋分
[03:35.20]渐行渐远去的我们"
5,A000006,2020.12.25,0.0,247728.0, 小手拉大手,小手拉大手,梁静茹,,,0,0,"[ti:小手拉大手]
[ar:梁静茹]
[al:亲亲]
[by:]
[offset:0]
[00:00.00]小手拉大手 - 梁静茹 (Fish Leong)
[00:02.11]词：陈绮贞
[00:04.23]曲：过亚弥乃
[00:06.34]编曲：陈建骐
[00:08.46]还记得那场音乐会的烟火
[00:11.96]还记得那个凉凉的深秋
[00:15.72]还记得人潮把你推向了我
[00:19.30]游乐园拥挤的正是时候
[00:23.04]一个夜晚坚持不睡的等候
[00:26.80]一起泡温泉奢侈的享受
[00:30.44]有一次日记里愚蠢的困惑
[00:34.06]因为你的微笑幻化成风
[00:37.78]你大大的勇敢保护着我
[00:41.50]我小小的关怀喋喋不休
[00:45.14]感谢我们一起走了那么久
[00:48.81]又再一次回到凉凉深秋
[00:52.51]给你我的手
[00:54.28]像温柔野兽
[00:56.16]把自由交给草原的辽阔
[01:00.40]我们小手拉大手
[01:02.93]一起郊游
[01:04.58]今天别想太多
[01:07.25]你是我的梦
[01:09.13]像北方的风
[01:10.94]吹着南方暖洋洋的哀愁
[01:15.17]我们小手拉大手
[01:17.69]今天加油向昨天挥挥手
[01:24.10]还记得那场音乐会的烟火
[01:27.52]还记得那个凉凉的深秋
[01:31.34]还记得人潮把你推向了我
[01:34.92]游乐园拥挤的正是时候
[01:38.67]一个夜晚坚持不睡的等候
[01:42.33]一起泡温泉奢侈的享受
[01:46.07]有一次日记里愚蠢的困惑
[01:49.71]因为你的微笑幻化成风
[01:53.39]你大大的勇敢保护着我
[01:57.17]我小小的关怀喋喋不休
[02:00.75]感谢我们一起走了那么久
[02:04.61]又再一次回到凉凉深秋
[02:08.30]给你我的手
[02:10.06]像温柔野兽
[02:11.96]我们一直就这样向前走
[02:16.06]我们小手拉大手
[02:18.59]一起郊游
[02:20.27]今天别想太多
[02:23.01]你是我的梦
[02:24.85]像北方的风
[02:26.78]吹着南方暖洋洋的哀愁
[02:30.80]我们小手拉大手
[02:33.32]今天加油向昨天挥挥手
[02:45.90]Lalala
[02:58.31]给你我的手
[03:00.04]像温柔野兽
[03:01.83]我们一直就这样向前走
[03:05.96]我们小手拉大手
[03:08.40]一起郊游
[03:10.17]今天别想太多
[03:12.86]Lalalalala
[03:14.62]像北方的风
[03:16.55]吹着南方暖洋洋的哀愁
[03:20.73]我们小手拉大手
[03:23.14]今天加油向昨天挥挥手
[03:28.06]我们小手拉大手
[03:30.31]今天为我加油
[03:32.28]舍不得挥挥手"
6,A000007,2020.12.26,0.0,224064.0, 万有引力2.0,万有引力,"汪苏泷,BY2",2.0,,0,0,"[ti:有点甜 (feat. BY2)]
[ar:汪苏泷;BY2]
[al:万有引力]
[by:]
[offset:0]
[00:00.16]有点甜 (《萌三国》网游主题曲|《微微一笑很倾城》电视剧插曲) - 汪苏泷/BY2
[00:01.15]词：汪苏泷
[00:01.28]曲：汪苏泷
[00:01.41]制作人：胡皓/汪苏泷
[00:01.68]编曲：金若晨@光合声动
[00:01.97]和声编写：胡皓/汪苏泷
[00:02.27]和声：汪苏泷/By2/阿莲
[00:02.57]吉他：谷粟
[00:02.70]录音：章谋杰@北京飞行者录音室
[00:03.13]混音：章谋杰@北京飞行者录音室
[00:03.56]
[00:18.22]汪：摘一颗苹果
[00:20.09]等你从门前经过
[00:22.09]
[00:22.97]送到你的手中帮你解渴
[00:25.59]
[00:26.46]BY2：像夏天的可乐
[00:29.21]像冬天的可可
[00:31.14]
[00:31.76]你是对的时间对的角色
[00:34.64]
[00:36.20]汪：已经约定过
[00:38.31]一起过下个周末
[00:40.31]
[00:41.12]你的小小情绪对我来说
[00:43.81]
[00:44.80]BY2：我也不知为何
[00:47.55]伤口还没愈合
[00:49.61]
[00:50.30]你就这样闯进我的心窝
[00:53.44]
[00:54.38]是你让我看见干枯沙漠开出花一朵
[00:59.18]汪：是你让我想要每天为你写一首情歌
[01:03.73]BY2：用最浪漫的副歌
[01:05.92]汪：你也轻轻的附和
[01:08.66]BY2：眼神坚定着我们的选择
[01:11.65]
[01:12.72]是你让我的世界从那刻变成粉红色
[01:17.34]汪：是你让我的生活从此都只要你配合
[01:22.02]Yumi：爱要精心来雕刻
[01:24.33]汪：我是米开朗基罗
[01:26.38]
[01:26.94]合：用心刻画最幸福的风格
[01:29.69]
[01:31.68]BY2：用时间 去思念 爱情有点甜
[01:38.99]
[01:40.86]这心愿 不会变 爱情有点甜
[01:48.11]
[01:49.70]汪：已经约定过
[01:51.51]一起过下个周末
[01:53.51]
[01:54.33]你的小小情绪对我来说
[01:57.07]
[01:58.00]Miko：我也不知为何
[02:00.76]伤口还没愈合
[02:02.63]
[02:03.32]你就这样闯进我的心窝
[02:06.91]
[02:07.78]Yumi：是你让我看见干枯沙漠开出花一朵
[02:12.34]汪：是你让我想要每天为你写一首情歌
[02:16.84]BY2：用最浪漫的副歌
[02:19.08]汪：你也轻轻的附和
[02:21.26]
[02:21.83]合：眼神坚定着我们的选择
[02:24.51]
[02:26.00]Miko：是你让我的世界从那刻变成粉红色
[02:30.56]汪：是你让我的生活从此都只要你配合
[02:35.18]Yumi：爱要精心来雕刻
[02:37.36]汪：我是米开朗基罗
[02:39.42]
[02:40.05]合：用心刻画最幸福的风格
[02:42.67]
[02:44.41]Yumi：是你让我看见干枯沙漠开出花一朵
[02:48.84]汪：是你让我想要每天为你写一首情歌
[02:53.40]Yumi：用最浪漫的副歌
[02:55.83]汪：你也轻轻的附和
[02:57.71]
[02:58.26]合：眼神坚定着我们的选择
[03:00.95]
[03:02.64]BY2：是你让我的世界从那刻变成粉红色
[03:07.19]汪：是你让我的生活从此都只要你配合
[03:11.75]BY2：爱要精心来雕刻
[03:13.93]汪：我是米开朗基罗
[03:15.99]
[03:16.61]合：用心刻画最幸福的风格
[03:19.29]
[03:20.79]用心刻画最幸福的风格"
7,A000008,2020.12.26,0.0,103728.0, 恋愛サーキュレーショ,恋愛サーキュレーショ,,,,0,2,
8,A000009,2020.12.26,0.0,209400.0, 爱你,爱你,G.E.M. 邓紫棋,,,0,0,"[ti:A.I.N.Y.]
[ar:G.E.M. 邓紫棋]
[al:18...]
[by:]
[offset:0]
[00:00.00]A.I.N.Y. - G.E.M. 邓紫棋 (Gem Tang)
[00:00.94]词：G.E.M.邓紫棋
[00:01.88]曲：Lupo Groinig/G.E.M.邓紫棋
[00:02.82]编曲：Lupo Groinig
[00:03.77]分开以后每个夜晚
[00:07.30]格外的寂静
[00:09.45]
[00:10.63]滴答滴答
[00:12.36]剩大钟在陪着我回忆
[00:16.30]
[00:17.45]电话里头曾经是你最温柔的声音
[00:23.27]
[00:23.91]现在只有空气
[00:26.02]冷漠地回应
[00:28.34]
[00:30.27]Oh 给你我的心
[00:33.00]
[00:33.59]能否请你别遗弃
[00:36.67]
[00:37.60]一句爱你爱你爱你爱你
[00:40.64]能否再也不分离
[00:43.40]
[00:43.96]Oh 给你我的心
[00:46.71]
[00:47.30]为什么你却给了我孤寂
[00:50.66]
[00:51.28]就算爱你爱你爱你爱你
[00:54.37]可能你也不想听
[00:57.24]
[01:05.64]你的拥抱曾经是
[01:08.04]
[01:08.63]最温暖最熟悉
[01:11.08]
[01:12.33]现在换了谁安睡在你胸口的位置
[01:17.97]
[01:19.18]你的承诺曾是一种不自觉的甜蜜
[01:25.05]
[01:25.59]现在一划一笔
[01:27.72]刺在我心里
[01:31.37]
[01:31.98]Oh 给你我的心
[01:34.57]
[01:35.38]能否请你别遗弃
[01:38.36]
[01:39.32]一句爱你爱你爱你爱你
[01:42.33]能否再也不分离
[01:45.06]
[01:45.69]Oh 给你我的心
[01:48.32]
[01:49.11]为什么你却给了我孤寂
[01:52.44]
[01:53.01]就算爱你爱你爱你爱你
[01:56.08]可能你也不想听 你不想听
[02:03.13]
[02:21.13]回忆
[02:21.51]最后的回忆
[02:22.91]对你最后的回忆
[02:24.44]是你
[02:24.91]走远的身影
[02:26.30]慢慢走远的身影
[02:27.93]然后你
[02:28.92]离开
[02:29.67]离开了没有痕迹
[02:31.19]然后我 哭泣
[02:33.17]崩溃了放纵哭泣
[02:34.66]恨你恨你 每当我想起曾经
[02:38.06]曾经曾经曾经曾经
[02:42.47]Yeah
[02:49.62]还是爱你爱你爱你爱你
[02:52.60]难道还不能清醒
[02:55.91]Oh 给你我的心
[02:58.38]
[02:59.32]为什么你却给了我孤寂
[03:02.23]
[03:03.27]一句爱你爱你爱你爱你
[03:06.40]难道你也不想听
[03:09.20]
[03:09.81]Oh 给你我的心
[03:12.10]
[03:13.02]为什么你却给了我孤寂
[03:16.38]
[03:16.91]就算爱你爱你爱你爱你
[03:20.09]不值得为你伤心伤心
[03:27.21]
[03:31.25]Your confession remains to be my final pleading
[03:34.29]
[03:35.52]But the only thing that&apos;s here with me
[03:37.29]
[03:38.12]Is tic tac tic tac tic tac tic tac"
9,A000010,2020.12.27,0.0,295344.0, 七里香,七里香,周杰伦,,,0,0,"[ti:七里香]
[ar:周杰伦]
[al:七里香]
[by:]
[offset:0]
[00:00.00]七里香 - 周杰伦 (Jay Chou)
[00:06.93]词：方文山
[00:13.87]曲：周杰伦
[00:20.80]编曲：钟兴民
[00:27.74]窗外的麻雀在电线杆上多嘴
[00:34.49]你说这一句很有夏天的感觉
[00:41.16]手中的铅笔在纸上来来回回
[00:47.59]我用几行字形容你是我的谁
[00:54.39]秋刀鱼的滋味猫跟你都想了解
[01:01.44]初恋的香味就这样被我们寻回
[01:07.81]那温暖的阳光像刚摘的鲜艳草莓
[01:14.37]你说你舍不得吃掉这一种感觉
[01:20.99]雨下整夜我的爱溢出就像雨水
[01:27.65]院子落叶跟我的思念厚厚一叠
[01:34.38]几句是非也无法将我的热情冷却
[01:41.92]你出现在我诗的每一页
[01:47.86]雨下整夜我的爱溢出就像雨水
[01:54.60]窗台蝴蝶像诗里纷飞的美丽章节
[02:01.38]我接着写
[02:03.86]把永远爱你写进诗的结尾
[02:08.99]你是我唯一想要的了解
[02:42.02]雨下整夜我的爱溢出就像雨水
[02:48.62]院子落叶跟我的思念厚厚一叠
[02:55.37]几句是非也无法将我的热情冷却
[03:02.96]你出现在我诗的每一页
[03:09.38]那饱满的稻穗幸福了这个季节
[03:16.54]而你的脸颊像田里熟透的番茄
[03:22.81]你突然对我说七里香的名字很美
[03:29.28]我此刻却只想亲吻你倔强的嘴
[03:35.91]雨下整夜我的爱溢出就像雨水
[03:42.58]院子落叶跟我的思念厚厚一叠
[03:49.38]几句是非也无法将我的热情冷却
[03:56.93]你出现在我诗的每一页
[04:03.33]整夜我的爱溢出就像雨水
[04:09.58]窗台蝴蝶像诗里纷飞的美丽章节
[04:16.43]我接着写
[04:18.97]把永远爱你写进诗的结尾
[04:24.00]你是我唯一想要的了解"
